DATE,HPI,TBill,Mort
1/1/2015,225.92,0.02,3.67
2/1/2015,227.57,0.02,3.71
3/1/2015,229.66,0.02,3.77
4/1/2015,232.56,0.02,3.67
5/1/2015,235.29,0.01,3.84
6/1/2015,237.09,0.01,3.98
7/1/2015,238.06,0.03,4.05
8/1/2015,238.22,0.04,3.91
9/1/2015,238.59,0.01,3.89
10/1/2015,238.87,0.01,3.8
11/1/2015,239.38,0.07,3.94
12/1/2015,240.16,0.17,3.96
1/1/2016,241.18,0.23,3.87
2/1/2016,242.8,0.26,3.66
3/1/2016,244.37,0.25,3.69
4/1/2016,246.23,0.19,3.61
5/1/2016,247.98,0.23,3.6
6/1/2016,249.57,0.22,3.57
7/1/2016,251.06,0.26,3.44
8/1/2016,251.82,0.26,3.44
9/1/2016,252.44,0.19,3.46
10/1/2016,252.12,0.24,3.47
11/1/2016,252.42,0.3,3.77
12/1/2016,253.04,0.42,4.2
1/1/2017,254,0.5,4.15
2/1/2017,254.77,0.48,4.17
3/1/2017,257.35,0.66,4.2
4/1/2017,259.06,0.75,4.05
5/1/2017,261.71,0.73,4.01
6/1/2017,263.34,0.84,3.9
7/1/2017,266.24,0.97,3.97
8/1/2017,266.94,0.98,3.88
9/1/2017,268.05,0.99,3.81
